family_size,residential_area,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_cred_hist_average_value
6-Apr,urban,23,28800,RENT,0,ELECTRONICS,A,4000,18,0,0.14,N,2,197692.777
3-Jan,rural,22,38400,MORTGAGE,4,FURNITURE,A,10000,18,0,0.26,N,2,54974.195
2-Jan,rural,22,32000,RENT,0,HEALTHANDBEAUTY,A,4000,18,0,0.13,N,4,167341.433
2-Jan,rural,22,36000,RENT,0,MEDICAL,A,4000,18,0,0.11,N,3,186153.212
2-Jan,rural,22,36000,RENT,3,ELECTRONICS,A,4000,18,0,0.11,N,2,29744.72
3-Jan,rural,24,39000,MORTGAGE,3,HOMEIMPROVEMENT,A,5600,18,0,0.14,N,4,156838.293
2-Jan,rural,24,40000,RENT,3,FURNITURE,A,4000,18,0,0.1,N,2,179923.251
2-Jan,rural,24,50000,RENT,1,HOMEIMPROVEMENT,A,4000,18,0,0.08,N,2,132621.635
2-Jan,rural,23,50000,RENT,1,MEDICAL,A,4000,18,0,0.08,N,2,36249.547
2-Jan,rural,24,65000,RENT,1,MEDICAL,A,4000,18,0,0.06,N,2,117828.364
2-Jan,rural,23,92000,RENT,2,ELECTRONICS,A,4000,18,0,0.04,N,2,165089.375
2-Jan,rural,24,93000,RENT,8,MEDICAL,A,4000,18,0,0.04,N,2,7235.031
3-Jan,rural,23,40000,OWN,,HEALTHANDBEAUTY,A,7500,18,0,0.19,N,2,61228.569
3-Jan,rural,23,40000,MORTGAGE,3,MEDICAL,A,5000,18,0,0.13,N,3,80944.402
3-Jan,rural,22,40000,MORTGAGE,1,ELECTRONICS,A,4800,18,0,0.12,N,2,39918.849
2-Jan,rural,24,37500,RENT,0,PERSONAL,A,4500,18,0,0.12,N,4,128393.752
2-Jan,rural,26,40000,MORTGAGE,10,HOMEIMPROVEMENT,A,5300,18,0,0.13,N,2,95822.276
2-Jan,rural,22,35000,RENT,3,ELECTRONICS,A,4800,18,0,0.14,N,3,156740.817
2-Jan,rural,26,45000,RENT,1,MEDICAL,A,4800,18,0,0.11,N,2,117961.115
2-Jan,rural,23,48000,RENT,3,MEDICAL,A,4800,18,0,0.1,N,3,193547.89
3-Jan,rural,23,42000,MORTGAGE,7,HEALTHANDBEAUTY,A,8000,18,0,0.19,N,3,30339.648
3-Jan,rural,24,42000,MORTGAGE,9,PERSONAL,A,11000,18,0,0.26,N,4,94940.673
3-Jan,rural,23,42000,OWN,0,PERSONAL,A,6000,18,0,0.14,N,2,97144.679
3-Jan,rural,25,42000,MORTGAGE,3,HOMEIMPROVEMENT,A,10000,18,0,0.24,N,2,97055.606
2-Jan,rural,22,36996,RENT,0,MEDICAL,A,5000,18,0,0.14,N,2,194108.886
3-Jan,rural,23,42179,MORTGAGE,1,ELECTRONICS,A,10000,18,0,0.24,N,4,43000.048
3-Jan,rural,25,42500,MORTGAGE,9,ELECTRONICS,A,2000,18,0,0.05,N,3,54535.931
2-Jan,rural,24,42000,RENT,8,MEDICAL,A,5000,18,0,0.12,N,2,191118.855
2-Jan,rural,26,43000,MORTGAGE,9,PERSONAL,A,8800,18,0,0.2,N,3,176128.399
3-Jan,rural,22,43200,MORTGAGE,7,PERSONAL,A,11000,18,0,0.25,N,2,85106.669
2-Jan,rural,22,50000,RENT,6,FURNITURE,A,5000,18,0,0.1,N,3,103280.781
3-Jan,rural,21,43971,MORTGAGE,5,PERSONAL,A,4600,18,0,0.1,N,4,34128.941
3-Jan,rural,23,44000,MORTGAGE,,MEDICAL,A,6000,18,0,0.14,N,4,89504.653
3-Jan,rural,24,45000,MORTGAGE,6,HOMEIMPROVEMENT,A,4075,18,0,0.09,N,3,64901.581
2-Jan,rural,22,44000,RENT,4,HEALTHANDBEAUTY,A,8500,18,0,0.19,N,4,92382.135
3-Jan,rural,23,45000,MORTGAGE,7,FURNITURE,A,7000,18,0,0.16,N,3,126929.026
3-Jan,rural,21,45000,MORTGAGE,0,FURNITURE,A,6250,18,0,0.14,N,3,54039.295
2-Jan,rural,21,55272,RENT,5,HEALTHANDBEAUTY,A,5000,18,0,0.09,N,3,107439.981
2-Jan,rural,23,65000,RENT,2,HEALTHANDBEAUTY,A,5000,18,0,0.08,N,2,75083.655
2-Jan,rural,23,80000,RENT,6,PERSONAL,A,5000,18,0,0.06,N,2,178338.231
2-Jan,rural,24,81000,RENT,6,MEDICAL,A,5000,18,0,0.06,N,3,1380.485
3-Jan,rural,23,45992,MORTGAGE,7,HEALTHANDBEAUTY,A,10000,18,0,0.22,N,3,112624.019
3-Jan,rural,23,46000,MORTGAGE,1,HEALTHANDBEAUTY,A,3000,18,0,0.07,N,3,181453.66
2-Jan,rural,22,57500,RENT,4,MEDICAL,A,5400,18,0,0.09,N,4,163248.817
3-Jan,rural,23,46450,MORTGAGE,6,ELECTRONICS,A,10000,18,0,0.22,N,2,4879.375
3-Jan,rural,22,47000,OWN,6,MEDICAL,A,3000,18,0,0.06,N,3,173508.027
2-Jan,rural,21,59000,RENT,1,ELECTRONICS,A,5500,18,0,0.09,N,2,137771.783
3-Jan,rural,23,48000,OWN,7,MEDICAL,A,2500,18,0,0.05,N,3,154393.329
3-Jan,rural,25,48000,MORTGAGE,9,MEDICAL,A,3500,18,0,0.07,N,4,137615.753
2-Jan,rural,22,37000,RENT,4,ELECTRONICS,A,5700,18,0,0.15,N,4,155602.671
2-Jan,rural,26,48000,MORTGAGE,10,HOMEIMPROVEMENT,A,4000,18,0,0.08,N,2,185192.308
3-Jan,rural,24,48000,MORTGAGE,4,MEDICAL,A,4000,18,0,0.08,N,4,76453.93
3-Jan,rural,25,48000,MORTGAGE,,HOMEIMPROVEMENT,A,4500,18,0,0.09,N,2,126748.312
6-Apr,urban,23,24000,RENT,4,ELECTRONICS,A,6000,18,0,0.25,N,4,66687.04
2-Jan,rural,21,32000,RENT,5,FURNITURE,A,6000,18,0,0.19,N,4,175099.134
3-Jan,rural,23,49000,MORTGAGE,6,FURNITURE,A,9600,18,0,0.2,N,3,100990.645
3-Jan,rural,23,49000,MORTGAGE,5,ELECTRONICS,A,3500,18,0,0.07,N,2,104787.397
3-Jan,rural,25,49920,MORTGAGE,9,FURNITURE,A,3325,18,0,0.07,N,3,197577.026
3-Jan,rural,25,50000,MORTGAGE,5,FURNITURE,A,8000,18,0,0.16,N,4,16729.37
2-Jan,rural,22,47000,RENT,2,MEDICAL,A,6000,18,0,0.13,N,3,198148.502
2-Jan,rural,26,44000,MORTGAGE,6,ELECTRONICS,A,10000,18,1,0.23,N,4,7333.615
3-Jan,rural,22,44000,MORTGAGE,6,MEDICAL,A,5000,18,1,0.11,N,4,158607.23
2-Jan,rural,22,50508,RENT,5,HEALTHANDBEAUTY,A,6000,18,0,0.12,N,3,25822.842
3-Jan,rural,24,50000,MORTGAGE,2,PERSONAL,A,7000,18,0,0.14,N,4,160858.509
2-Jan,rural,26,55000,RENT,10,MEDICAL,A,6000,18,0,0.11,N,4,27164.115
3-Jan,rural,24,50000,MORTGAGE,8,MEDICAL,A,12000,18,0,0.24,N,2,13579.432
2-Jan,rural,21,72000,RENT,3,ELECTRONICS,A,6000,18,0,0.08,N,4,172714.547
3-Jan,rural,24,50112,OWN,,PERSONAL,A,1000,18,0,0.02,N,2,26192.699
3-Jan,rural,23,50205,MORTGAGE,7,FURNITURE,A,5300,18,0,0.11,N,4,124991.471
2-Jan,rural,22,86000,RENT,6,MEDICAL,A,6000,18,0,0.07,N,3,96594.957
2-Jan,rural,25,100000,RENT,0,PERSONAL,A,6000,18,0,0.06,N,4,3571.483
3-Jan,rural,23,51000,OWN,7,PERSONAL,A,6000,18,0,0.12,N,4,132224.425
3-Jan,rural,25,46800,MORTGAGE,0,MEDICAL,A,6000,18,1,0.13,N,4,22687.001
3-Jan,rural,22,53000,MORTGAGE,6,PERSONAL,A,5000,18,0,0.09,N,3,189686.724
3-Jan,rural,25,53004,MORTGAGE,3,HEALTHANDBEAUTY,A,4800,18,0,0.09,N,2,42581.238
2-Jan,rural,25,70000,RENT,5,HOMEIMPROVEMENT,A,6800,18,0,0.1,N,2,43683.482
3-Jan,rural,24,54000,MORTGAGE,7,PERSONAL,A,5000,18,0,0.09,N,4,20758.865
3-Jan,rural,23,54000,MORTGAGE,7,FURNITURE,A,1400,18,0,0.03,N,4,189738.562
3-Jan,rural,24,54000,MORTGAGE,5,HEALTHANDBEAUTY,A,4000,18,0,0.07,N,2,1683.562
3-Jan,rural,23,54000,MORTGAGE,7,PERSONAL,A,2000,18,0,0.04,N,2,85446.984
3-Jan,rural,24,54000,MORTGAGE,5,HEALTHANDBEAUTY,A,11000,18,0,0.2,N,2,44788.315
3-Jan,rural,23,54000,MORTGAGE,8,HEALTHANDBEAUTY,A,3000,18,0,0.06,N,2,22057.261
2-Jan,rural,26,54000,MORTGAGE,10,HOMEIMPROVEMENT,A,7200,18,0,0.13,N,2,199287.357
6-Apr,urban,24,24000,RENT,0,MEDICAL,A,6825,18,0,0.28,N,4,83792.116
2-Jan,urban,26,28800,RENT,4,MEDICAL,A,7000,18,0,0.24,N,4,131559.815
3-Jan,rural,21,55000,MORTGAGE,5,PERSONAL,A,12000,18,0,0.22,N,2,114483.842
3-Jan,rural,23,55000,MORTGAGE,7,FURNITURE,A,4000,18,0,0.07,N,3,29002.912
2-Jan,rural,24,45000,RENT,5,HEALTHANDBEAUTY,A,7000,18,0,0.16,N,4,191402.171
3-Jan,rural,23,55000,MORTGAGE,7,FURNITURE,A,3850,18,0,0.07,N,2,190007.75
3-Jan,rural,24,55000,MORTGAGE,8,HOMEIMPROVEMENT,A,6000,18,0,0.11,N,3,117162.548
3-Jan,rural,22,55000,OWN,2,ELECTRONICS,A,2200,18,0,0.04,N,3,123280.32
2-Jan,rural,21,32000,RENT,5,ELECTRONICS,A,7200,18,0,0.23,N,4,35848.736
2-Jan,rural,21,42000,RENT,6,ELECTRONICS,A,7200,18,0,0.17,N,4,187379.794
2-Jan,rural,26,55316,OWN,10,HOMEIMPROVEMENT,A,6000,18,0,0.11,N,3,32710.082
2-Jan,rural,24,80000,RENT,6,HEALTHANDBEAUTY,A,7250,18,0,0.09,N,2,81816.933
3-Jan,rural,25,56000,MORTGAGE,,ELECTRONICS,A,5000,18,0,0.09,N,3,84773.871
2-Jan,rural,26,56000,MORTGAGE,10,ELECTRONICS,A,6000,18,0,0.11,N,4,2590.232
3-Jan,rural,23,56700,MORTGAGE,7,ELECTRONICS,A,12000,18,0,0.21,N,2,168156.299
2-Jan,rural,26,57000,MORTGAGE,10,HEALTHANDBEAUTY,A,14000,18,0,0.25,N,4,26071.118
3-Jan,rural,24,57000,MORTGAGE,5,ELECTRONICS,A,8000,18,0,0.14,N,3,56774.328
2-Jan,rural,26,57550,MORTGAGE,,FURNITURE,A,3500,18,0,0.06,N,4,151265.371
3-Jan,rural,24,57600,MORTGAGE,,HOMEIMPROVEMENT,A,3300,18,0,0.06,N,4,169033.839
3-Jan,rural,23,57600,MORTGAGE,6,FURNITURE,A,4000,18,0,0.07,N,2,88668.042
3-Jan,rural,24,58000,MORTGAGE,3,HOMEIMPROVEMENT,A,6000,18,0,0.1,N,4,189405.076
3-Jan,rural,24,58000,MORTGAGE,8,FURNITURE,A,3000,18,0,0.05,N,4,2109.283
3-Jan,rural,23,59000,MORTGAGE,5,ELECTRONICS,A,13000,18,0,0.22,N,4,91896.662
3-Jan,rural,23,59000,MORTGAGE,7,HEALTHANDBEAUTY,A,2000,18,0,0.03,N,2,141451.58
3-Jan,rural,22,59600,MORTGAGE,6,PERSONAL,A,6000,18,0,0.1,N,3,9498.46
2-Jan,rural,22,30000,RENT,6,MEDICAL,A,8000,18,0,0.27,N,4,101674.927
3-Jan,rural,24,54000,MORTGAGE,1,FURNITURE,A,1500,18,1,0.03,N,3,106848.443
2-Jan,rural,26,54000,MORTGAGE,10,ELECTRONICS,A,8500,18,1,0.16,N,3,47360.616
3-Jan,rural,24,60000,MORTGAGE,3,ELECTRONICS,A,4000,18,0,0.07,N,2,72841.909
3-Jan,rural,24,60000,MORTGAGE,0,FURNITURE,A,6000,18,0,0.1,N,3,76805.573
3-Jan,rural,23,60000,MORTGAGE,6,HEALTHANDBEAUTY,A,10000,18,0,0.17,N,4,100830.01
3-Jan,rural,22,60000,MORTGAGE,1,PERSONAL,A,10000,18,0,0.17,N,2,161689.062
3-Jan,rural,25,60000,MORTGAGE,3,FURNITURE,A,3200,18,0,0.05,N,4,167104.969
3-Jan,rural,23,60000,MORTGAGE,7,PERSONAL,A,3800,18,0,0.06,N,3,193908.961
2-Jan,rural,26,53688,RENT,11,FURNITURE,A,8000,18,0,0.15,N,4,163401.677
2-Jan,rural,23,55000,RENT,1,MEDICAL,A,8000,18,0,0.15,N,4,92285.124
2-Jan,rural,25,60000,RENT,1,HEALTHANDBEAUTY,A,8000,18,0,0.13,N,2,135125.452
2-Jan,rural,22,74000,RENT,4,PERSONAL,A,5050,18,0,0.07,N,3,178353.337
6-Apr,urban,21,27000,RENT,5,HEALTHANDBEAUTY,A,5000,18,0,0.19,N,3,126850.178
2-Jan,rural,22,62000,RENT,6,PERSONAL,A,8000,18,0,0.13,N,3,109976.429
3-Jan,rural,25,61200,MORTGAGE,10,MEDICAL,A,5200,18,0,0.08,N,4,13601.741
3-Jan,rural,25,62000,MORTGAGE,7,HEALTHANDBEAUTY,A,12000,18,0,0.19,N,2,153946.578
3-Jan,rural,23,62000,MORTGAGE,2,HEALTHANDBEAUTY,A,5000,18,0,0.08,N,3,133497.913
3-Jan,rural,22,63000,MORTGAGE,6,ELECTRONICS,A,4500,18,0,0.07,N,2,75225.451
3-Jan,rural,22,63000,MORTGAGE,6,ELECTRONICS,A,3700,18,0,0.06,N,4,120395.706
3-Jan,rural,22,63996,MORTGAGE,6,FURNITURE,A,4000,18,0,0.06,N,4,145774.911
3-Jan,rural,26,65000,MORTGAGE,5,FURNITURE,A,5000,18,0,0.08,N,4,116397.289
3-Jan,rural,24,65000,MORTGAGE,7,PERSONAL,A,1525,18,0,0.02,N,3,39689.947
3-Jan,rural,26,65000,MORTGAGE,0,FURNITURE,A,4000,18,0,0.06,N,3,180407.229
3-Jan,rural,24,65000,MORTGAGE,8,HOMEIMPROVEMENT,A,2000,18,0,0.03,N,3,135563.135
3-Jan,rural,24,65000,MORTGAGE,7,HEALTHANDBEAUTY,A,6000,18,0,0.09,N,3,196564.189
3-Jan,rural,23,66000,MORTGAGE,,PERSONAL,A,10000,18,0,0.15,N,3,145058.074
3-Jan,rural,26,66912,MORTGAGE,10,MEDICAL,A,12000,18,0,0.18,N,3,88274.328
6-Apr,urban,22,28000,RENT,6,ELECTRONICS,A,10000,18,1,0.36,N,3,107280.968
3-Jan,rural,23,68000,MORTGAGE,7,PERSONAL,A,12000,18,0,0.18,N,4,83070.069
3-Jan,rural,24,68004,MORTGAGE,5,HOMEIMPROVEMENT,A,4200,18,0,0.06,N,4,189820.053
3-Jan,rural,24,68400,MORTGAGE,,PERSONAL,A,3000,18,0,0.04,N,4,67243.786
2-Jan,rural,23,33000,RENT,1,MEDICAL,A,10000,18,0,0.3,N,3,22232.875
3-Jan,rural,25,69900,MORTGAGE,9,HEALTHANDBEAUTY,A,5050,18,0,0.07,N,2,47941.43
2-Jan,rural,22,36396,RENT,4,ELECTRONICS,A,10000,18,0,0.27,N,3,129226.729
3-Jan,rural,23,70000,MORTGAGE,7,ELECTRONICS,A,13000,18,0,0.19,N,3,95521.47
3-Jan,urban,22,70000,OWN,,HEALTHANDBEAUTY,A,1250,18,0,0.02,N,4,120940.566
3-Jan,rural,24,64000,MORTGAGE,8,PERSONAL,A,14500,18,1,0.23,N,2,21273.372
3-Jan,rural,25,70000,MORTGAGE,6,HEALTHANDBEAUTY,A,14000,18,0,0.2,N,3,134046.064
3-Jan,rural,22,70000,MORTGAGE,1,FURNITURE,A,4500,18,0,0.06,N,2,92843.74
3-Jan,rural,22,70000,MORTGAGE,2,FURNITURE,A,6000,18,0,0.09,N,2,42089.647
3-Jan,rural,25,70000,MORTGAGE,9,MEDICAL,A,10000,18,0,0.14,N,4,86395.967
3-Jan,urban,24,70000,OWN,,PERSONAL,A,6000,18,0,0.09,N,2,75786.942
2-Jan,rural,23,42000,RENT,4,PERSONAL,A,10000,18,0,0.24,N,3,27342.834
3-Jan,rural,23,70000,MORTGAGE,7,FURNITURE,A,3500,18,0,0.05,N,2,195070.656
3-Jan,rural,21,70000,MORTGAGE,6,FURNITURE,A,6000,18,0,0.09,N,3,140257.437
2-Jan,rural,23,48000,RENT,1,HEALTHANDBEAUTY,A,4325,18,0,0.09,N,4,28433.029
3-Jan,rural,26,71000,MORTGAGE,2,FURNITURE,A,4400,18,0,0.06,N,4,159134.774
2-Jan,rural,23,62000,RENT,2,MEDICAL,A,4200,18,0,0.07,N,3,160896.318
2-Jan,rural,26,70000,RENT,10,PERSONAL,A,4075,18,0,0.06,N,3,22651.836
2-Jan,rural,26,46877,RENT,,FURNITURE,A,10000,18,0,0.21,N,2,126852.588
3-Jan,rural,22,72000,MORTGAGE,3,ELECTRONICS,A,8400,18,0,0.12,N,2,112582.839
3-Jan,rural,24,72000,MORTGAGE,1,PERSONAL,A,12000,18,0,0.17,N,2,27678.216
3-Jan,rural,22,72000,MORTGAGE,6,FURNITURE,A,3500,18,0,0.05,N,4,160913.34
2-Jan,rural,25,55000,RENT,0,PERSONAL,A,10000,18,0,0.18,N,4,10246.293
2-Jan,rural,24,55000,RENT,5,HOMEIMPROVEMENT,A,10000,18,0,0.18,N,2,107398.645
3-Jan,rural,24,73000,MORTGAGE,4,ELECTRONICS,A,6500,18,0,0.09,N,2,127990.53
2-Jan,rural,22,51000,RENT,6,ELECTRONICS,A,10000,18,1,0.2,N,4,57453.1
3-Jan,rural,24,74700,MORTGAGE,7,ELECTRONICS,A,12000,18,0,0.16,N,4,73860.674
3-Jan,rural,22,75000,MORTGAGE,6,ELECTRONICS,A,11000,18,0,0.15,N,2,27881.099
3-Jan,rural,24,75000,MORTGAGE,8,ELECTRONICS,A,3000,18,0,0.04,N,3,152580.609
3-Jan,rural,23,75000,MORTGAGE,5,HEALTHANDBEAUTY,A,6400,18,0,0.09,N,3,49656.617
3-Jan,rural,24,75000,MORTGAGE,9,HOMEIMPROVEMENT,A,11500,18,0,0.15,N,2,9217.89
3-Jan,rural,26,75000,MORTGAGE,10,ELECTRONICS,A,9600,18,0,0.13,N,3,191562.984
3-Jan,rural,25,75000,MORTGAGE,9,FURNITURE,A,9600,18,0,0.13,N,4,30787.031
2-Jan,rural,25,44966,RENT,3,MEDICAL,A,10025,18,0,0.22,N,4,191135.001
3-Jan,rural,24,78000,MORTGAGE,8,FURNITURE,A,3600,18,0,0.05,N,4,55828.967
2-Jan,rural,25,82000,RENT,9,PERSONAL,A,11200,18,0,0.14,N,4,88495.159
3-Jan,urban,24,78386,OWN,3,ELECTRONICS,A,4000,18,0,0.05,N,3,195291.483
3-Jan,rural,23,79100,MORTGAGE,4,HEALTHANDBEAUTY,A,3300,18,0,0.04,N,3,32459.915
3-Jan,rural,23,79200,MORTGAGE,7,ELECTRONICS,A,5000,18,0,0.06,N,3,9881.251
3-Jan,rural,23,80000,MORTGAGE,3,HEALTHANDBEAUTY,A,5500,18,0,0.07,N,2,123902.016
3-Jan,rural,25,80000,MORTGAGE,9,FURNITURE,A,10250,18,0,0.13,N,4,4588.053
2-Jan,rural,22,31800,RENT,,FURNITURE,A,12000,18,1,0.38,N,2,183969.949
3-Jan,rural,25,80208,MORTGAGE,1,HOMEIMPROVEMENT,A,4000,18,0,0.05,N,4,147589.762
3-Jan,rural,25,80400,MORTGAGE,9,FURNITURE,A,1000,18,0,0.01,N,3,63741.47
2-Jan,rural,25,46000,RENT,9,PERSONAL,A,12000,18,0,0.26,N,3,160932.951
2-Jan,rural,25,60000,RENT,3,HEALTHANDBEAUTY,A,12000,18,0,0.2,N,3,46351.751
3-Jan,rural,23,83199,MORTGAGE,2,FURNITURE,A,14400,18,0,0.17,N,3,20167.599
3-Jan,rural,23,84000,MORTGAGE,5,PERSONAL,A,4200,18,0,0.05,N,4,100038.208
3-Jan,rural,26,85000,MORTGAGE,0,MEDICAL,A,11600,18,0,0.14,N,4,48155.502
3-Jan,rural,23,85000,MORTGAGE,2,ELECTRONICS,A,5000,18,0,0.06,N,2,15454.668
3-Jan,rural,23,36000,OWN,,ELECTRONICS,A,5500,18,0,0.15,N,2,139353.472
3-Jan,rural,24,87278,MORTGAGE,3,HEALTHANDBEAUTY,A,12000,18,0,0.14,N,2,88386.57
2-Jan,rural,23,91392,RENT,7,FURNITURE,A,12000,18,0,0.13,N,3,136397.116
3-Jan,rural,26,90000,MORTGAGE,5,ELECTRONICS,A,8000,18,0,0.09,N,3,76593.262
3-Jan,rural,25,90000,MORTGAGE,9,PERSONAL,A,10000,18,0,0.11,N,2,187742.445
3-Jan,rural,23,90000,MORTGAGE,1,ELECTRONICS,A,4000,18,0,0.04,N,3,154341.49
3-Jan,rural,23,90000,MORTGAGE,2,ELECTRONICS,A,5000,18,0,0.06,N,4,30194.914
3-Jan,rural,24,93600,MORTGAGE,,MEDICAL,A,3600,18,0,0.04,N,2,47096.111
2-Jan,rural,26,52992,RENT,6,HOMEIMPROVEMENT,A,12800,18,0,0.24,N,4,174264.004
3-Jan,urban,26,94500,OWN,10,HEALTHANDBEAUTY,A,2000,18,0,0.02,N,2,102376.856
3-Jan,rural,23,94940,MORTGAGE,4,HEALTHANDBEAUTY,A,2000,18,0,0.02,N,3,102720.003
