family_size,residential_area,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,cb_person_cred_hist_average_value
2,4,22,47000,OWN,6,MEDICAL,A,3000,18,0,0.06,N,3,173508.027
9,1,21,59000,RENT,1,ELECTRONICS,A,5500,18,0,0.09,N,2,137771.783
1,4,23,48000,OWN,7,MEDICAL,A,2500,18,0,0.05,N,3,154393.329
4,4,25,48000,MORTGAGE,9,MEDICAL,A,3500,18,0,0.07,N,4,137615.753
7,2,22,37000,RENT,4,ELECTRONICS,A,5700,18,0,0.15,N,4,155602.671
9,2,26,48000,MORTGAGE,10,HOMEIMPROVEMENT,A,4000,18,0,0.08,N,2,185192.308
5,2,24,48000,MORTGAGE,4,MEDICAL,A,4000,18,0,0.08,N,4,76453.93
2,3,25,48000,MORTGAGE,,HOMEIMPROVEMENT,A,4500,18,0,0.09,N,2,126748.312
1,2,23,24000,RENT,4,ELECTRONICS,A,6000,18,0,0.25,N,4,66687.04
6,5,21,32000,RENT,5,FURNITURE,A,6000,18,0,0.19,N,4,175099.134
9,1,23,49000,MORTGAGE,6,FURNITURE,A,9600,18,0,0.2,N,3,100990.645
5,4,23,49000,MORTGAGE,5,ELECTRONICS,A,3500,18,0,0.07,N,2,104787.397
7,3,25,49920,MORTGAGE,9,FURNITURE,A,3325,18,0,0.07,N,3,197577.026
6,2,25,50000,MORTGAGE,5,FURNITURE,A,8000,18,0,0.16,N,4,16729.37
2,5,22,47000,RENT,2,MEDICAL,A,6000,18,0,0.13,N,3,198148.502
8,5,26,44000,MORTGAGE,6,ELECTRONICS,A,10000,18,1,0.23,N,4,7333.615
1,2,22,44000,MORTGAGE,6,MEDICAL,A,5000,18,1,0.11,N,4,158607.23
5,1,22,50508,RENT,5,HEALTHANDBEAUTY,A,6000,18,0,0.12,N,3,25822.842
4,3,24,50000,MORTGAGE,2,PERSONAL,A,7000,18,0,0.14,N,4,160858.509
2,3,26,55000,RENT,10,MEDICAL,A,6000,18,0,0.11,N,4,27164.115
5,3,24,50000,MORTGAGE,8,MEDICAL,A,12000,18,0,0.24,N,2,13579.432
4,5,21,72000,RENT,3,ELECTRONICS,A,6000,18,0,0.08,N,4,172714.547
6,1,24,50112,OWN,,PERSONAL,A,1000,18,0,0.02,N,2,26192.699
4,3,23,50205,MORTGAGE,7,FURNITURE,A,5300,18,0,0.11,N,4,124991.471
5,5,22,86000,RENT,6,MEDICAL,A,6000,18,0,0.07,N,3,96594.957
3,2,25,100000,RENT,0,PERSONAL,A,6000,18,0,0.06,N,4,3571.483
7,4,23,51000,OWN,7,PERSONAL,A,6000,18,0,0.12,N,4,132224.425
5,3,25,46800,MORTGAGE,0,MEDICAL,A,6000,18,1,0.13,N,4,22687.001
4,3,22,53000,MORTGAGE,6,PERSONAL,A,5000,18,0,0.09,N,3,189686.724
4,1,25,53004,MORTGAGE,3,HEALTHANDBEAUTY,A,4800,18,0,0.09,N,2,42581.238
3,1,25,70000,RENT,5,HOMEIMPROVEMENT,A,6800,18,0,0.1,N,2,43683.482
8,4,24,54000,MORTGAGE,7,PERSONAL,A,5000,18,0,0.09,N,4,20758.865
7,4,23,54000,MORTGAGE,7,FURNITURE,A,1400,18,0,0.03,N,4,189738.562
9,1,24,54000,MORTGAGE,5,HEALTHANDBEAUTY,A,4000,18,0,0.07,N,2,1683.562
1,2,23,54000,MORTGAGE,7,PERSONAL,A,2000,18,0,0.04,N,2,85446.984
1,2,24,54000,MORTGAGE,5,HEALTHANDBEAUTY,A,11000,18,0,0.2,N,2,44788.315
5,3,23,54000,MORTGAGE,8,HEALTHANDBEAUTY,A,3000,18,0,0.06,N,2,22057.261
6,5,26,54000,MORTGAGE,10,HOMEIMPROVEMENT,A,7200,18,0,0.13,N,2,199287.357
6,1,24,24000,RENT,0,MEDICAL,A,6825,18,0,0.28,N,4,83792.116
7,3,26,28800,RENT,4,MEDICAL,A,7000,18,0,0.24,N,4,131559.815
5,3,21,55000,MORTGAGE,5,PERSONAL,A,12000,18,0,0.22,N,2,114483.842
5,5,23,55000,MORTGAGE,7,FURNITURE,A,4000,18,0,0.07,N,3,29002.912
4,3,24,45000,RENT,5,HEALTHANDBEAUTY,A,7000,18,0,0.16,N,4,191402.171
2,2,23,55000,MORTGAGE,7,FURNITURE,A,3850,18,0,0.07,N,2,190007.75
9,3,24,55000,MORTGAGE,8,HOMEIMPROVEMENT,A,6000,18,0,0.11,N,3,117162.548
8,2,22,55000,OWN,2,ELECTRONICS,A,2200,18,0,0.04,N,3,123280.32
5,4,21,32000,RENT,5,ELECTRONICS,A,7200,18,0,0.23,N,4,35848.736
4,1,21,42000,RENT,6,ELECTRONICS,A,7200,18,0,0.17,N,4,187379.794
1,3,26,55316,OWN,10,HOMEIMPROVEMENT,A,6000,18,0,0.11,N,3,32710.082
3,1,24,80000,RENT,6,HEALTHANDBEAUTY,A,7250,18,0,0.09,N,2,81816.933
6,1,25,56000,MORTGAGE,,ELECTRONICS,A,5000,18,0,0.09,N,3,84773.871
6,1,26,56000,MORTGAGE,10,ELECTRONICS,A,6000,18,0,0.11,N,4,2590.232
3,2,23,56700,MORTGAGE,7,ELECTRONICS,A,12000,18,0,0.21,N,2,168156.299
7,3,26,57000,MORTGAGE,10,HEALTHANDBEAUTY,A,14000,18,0,0.25,N,4,26071.118
8,3,24,57000,MORTGAGE,5,ELECTRONICS,A,8000,18,0,0.14,N,3,56774.328
1,3,26,57550,MORTGAGE,,FURNITURE,A,3500,18,0,0.06,N,4,151265.371
8,2,24,57600,MORTGAGE,,HOMEIMPROVEMENT,A,3300,18,0,0.06,N,4,169033.839
6,3,23,57600,MORTGAGE,6,FURNITURE,A,4000,18,0,0.07,N,2,88668.042
1,1,24,58000,MORTGAGE,3,HOMEIMPROVEMENT,A,6000,18,0,0.1,N,4,189405.076
9,5,24,58000,MORTGAGE,8,FURNITURE,A,3000,18,0,0.05,N,4,2109.283
7,3,23,59000,MORTGAGE,5,ELECTRONICS,A,13000,18,0,0.22,N,4,91896.662
7,3,23,59000,MORTGAGE,7,HEALTHANDBEAUTY,A,2000,18,0,0.03,N,2,141451.58
5,1,22,59600,MORTGAGE,6,PERSONAL,A,6000,18,0,0.1,N,3,9498.46
1,2,22,30000,RENT,6,MEDICAL,A,8000,18,0,0.27,N,4,101674.927
1,2,24,54000,MORTGAGE,1,FURNITURE,A,1500,18,1,0.03,N,3,106848.443
4,1,26,54000,MORTGAGE,10,ELECTRONICS,A,8500,18,1,0.16,N,3,47360.616
7,4,24,60000,MORTGAGE,3,ELECTRONICS,A,4000,18,0,0.07,N,2,72841.909
1,4,24,60000,MORTGAGE,0,FURNITURE,A,6000,18,0,0.1,N,3,76805.573
1,1,23,60000,MORTGAGE,6,HEALTHANDBEAUTY,A,10000,18,0,0.17,N,4,100830.01
5,2,22,60000,MORTGAGE,1,PERSONAL,A,10000,18,0,0.17,N,2,161689.062
9,4,25,60000,MORTGAGE,3,FURNITURE,A,3200,18,0,0.05,N,4,167104.969
1,3,23,60000,MORTGAGE,7,PERSONAL,A,3800,18,0,0.06,N,3,193908.961
6,4,26,53688,RENT,11,FURNITURE,A,8000,18,0,0.15,N,4,163401.677
8,5,23,55000,RENT,1,MEDICAL,A,8000,18,0,0.15,N,4,92285.124
4,5,25,60000,RENT,1,HEALTHANDBEAUTY,A,8000,18,0,0.13,N,2,135125.452
4,5,22,74000,RENT,4,PERSONAL,A,5050,18,0,0.07,N,3,178353.337
9,1,21,27000,RENT,5,HEALTHANDBEAUTY,A,5000,18,0,0.19,N,3,126850.178
1,1,22,62000,RENT,6,PERSONAL,A,8000,18,0,0.13,N,3,109976.429
2,2,25,61200,MORTGAGE,10,MEDICAL,A,5200,18,0,0.08,N,4,13601.741
6,5,25,62000,MORTGAGE,7,HEALTHANDBEAUTY,A,12000,18,0,0.19,N,2,153946.578
2,1,23,62000,MORTGAGE,2,HEALTHANDBEAUTY,A,5000,18,0,0.08,N,3,133497.913
6,2,22,63000,MORTGAGE,6,ELECTRONICS,A,4500,18,0,0.07,N,2,75225.451
2,3,22,63000,MORTGAGE,6,ELECTRONICS,A,3700,18,0,0.06,N,4,120395.706
4,1,22,63996,MORTGAGE,6,FURNITURE,A,4000,18,0,0.06,N,4,145774.911
7,3,26,65000,MORTGAGE,5,FURNITURE,A,5000,18,0,0.08,N,4,116397.289
2,5,24,65000,MORTGAGE,7,PERSONAL,A,1525,18,0,0.02,N,3,39689.947
8,3,26,65000,MORTGAGE,0,FURNITURE,A,4000,18,0,0.06,N,3,180407.229
2,2,24,65000,MORTGAGE,8,HOMEIMPROVEMENT,A,2000,18,0,0.03,N,3,135563.135
4,2,24,65000,MORTGAGE,7,HEALTHANDBEAUTY,A,6000,18,0,0.09,N,3,196564.189
7,2,23,66000,MORTGAGE,,PERSONAL,A,10000,18,0,0.15,N,3,145058.074
4,4,26,66912,MORTGAGE,10,MEDICAL,A,12000,18,0,0.18,N,3,88274.328
1,5,22,28000,RENT,6,ELECTRONICS,A,10000,18,1,0.36,N,3,107280.968
9,2,23,68000,MORTGAGE,7,PERSONAL,A,12000,18,0,0.18,N,4,83070.069
8,1,24,68004,MORTGAGE,5,HOMEIMPROVEMENT,A,4200,18,0,0.06,N,4,189820.053
9,3,24,68400,MORTGAGE,,PERSONAL,A,3000,18,0,0.04,N,4,67243.786
5,1,23,33000,RENT,1,MEDICAL,A,10000,18,0,0.3,N,3,22232.875
6,4,25,69900,MORTGAGE,9,HEALTHANDBEAUTY,A,5050,18,0,0.07,N,2,47941.43
2,5,22,36396,RENT,4,ELECTRONICS,A,10000,18,0,0.27,N,3,129226.729
5,2,23,70000,MORTGAGE,7,ELECTRONICS,A,13000,18,0,0.19,N,3,95521.47
1,3,22,70000,OWN,,HEALTHANDBEAUTY,A,1250,18,0,0.02,N,4,120940.566
8,1,24,64000,MORTGAGE,8,PERSONAL,A,14500,18,1,0.23,N,2,21273.372
2,5,25,70000,MORTGAGE,6,HEALTHANDBEAUTY,A,14000,18,0,0.2,N,3,134046.064
1,1,22,70000,MORTGAGE,1,FURNITURE,A,4500,18,0,0.06,N,2,92843.74
3,4,22,70000,MORTGAGE,2,FURNITURE,A,6000,18,0,0.09,N,2,42089.647
7,3,25,70000,MORTGAGE,9,MEDICAL,A,10000,18,0,0.14,N,4,86395.967
2,2,24,70000,OWN,,PERSONAL,A,6000,18,0,0.09,N,2,75786.942
9,4,23,42000,RENT,4,PERSONAL,A,10000,18,0,0.24,N,3,27342.834
4,2,23,70000,MORTGAGE,7,FURNITURE,A,3500,18,0,0.05,N,2,195070.656
5,1,21,70000,MORTGAGE,6,FURNITURE,A,6000,18,0,0.09,N,3,140257.437
5,3,23,48000,RENT,1,HEALTHANDBEAUTY,A,4325,18,0,0.09,N,4,28433.029
4,1,26,71000,MORTGAGE,2,FURNITURE,A,4400,18,0,0.06,N,4,159134.774
1,3,23,62000,RENT,2,MEDICAL,A,4200,18,0,0.07,N,3,160896.318
6,3,26,70000,RENT,10,PERSONAL,A,4075,18,0,0.06,N,3,22651.836
1,4,26,46877,RENT,,FURNITURE,A,10000,18,0,0.21,N,2,126852.588
7,1,22,72000,MORTGAGE,3,ELECTRONICS,A,8400,18,0,0.12,N,2,112582.839
1,2,24,72000,MORTGAGE,1,PERSONAL,A,12000,18,0,0.17,N,2,27678.216
4,2,22,72000,MORTGAGE,6,FURNITURE,A,3500,18,0,0.05,N,4,160913.34
7,5,25,55000,RENT,0,PERSONAL,A,10000,18,0,0.18,N,4,10246.293
4,5,24,55000,RENT,5,HOMEIMPROVEMENT,A,10000,18,0,0.18,N,2,107398.645
8,2,24,73000,MORTGAGE,4,ELECTRONICS,A,6500,18,0,0.09,N,2,127990.53
5,5,22,51000,RENT,6,ELECTRONICS,A,10000,18,1,0.2,N,4,57453.1
2,1,24,74700,MORTGAGE,7,ELECTRONICS,A,12000,18,0,0.16,N,4,73860.674
3,3,22,75000,MORTGAGE,6,ELECTRONICS,A,11000,18,0,0.15,N,2,27881.099
9,5,24,75000,MORTGAGE,8,ELECTRONICS,A,3000,18,0,0.04,N,3,152580.609
9,3,23,75000,MORTGAGE,5,HEALTHANDBEAUTY,A,6400,18,0,0.09,N,3,49656.617
1,3,24,75000,MORTGAGE,9,HOMEIMPROVEMENT,A,11500,18,0,0.15,N,2,9217.89
3,1,26,75000,MORTGAGE,10,ELECTRONICS,A,9600,18,0,0.13,N,3,191562.984
9,4,25,75000,MORTGAGE,9,FURNITURE,A,9600,18,0,0.13,N,4,30787.031
9,3,25,44966,RENT,3,MEDICAL,A,10025,18,0,0.22,N,4,191135.001
6,2,24,78000,MORTGAGE,8,FURNITURE,A,3600,18,0,0.05,N,4,55828.967
9,5,25,82000,RENT,9,PERSONAL,A,11200,18,0,0.14,N,4,88495.159
9,3,24,78386,OWN,3,ELECTRONICS,A,4000,18,0,0.05,N,3,195291.483
6,4,23,79100,MORTGAGE,4,HEALTHANDBEAUTY,A,3300,18,0,0.04,N,3,32459.915
6,4,23,79200,MORTGAGE,7,ELECTRONICS,A,5000,18,0,0.06,N,3,9881.251
9,4,23,80000,MORTGAGE,3,HEALTHANDBEAUTY,A,5500,18,0,0.07,N,2,123902.016
5,3,25,80000,MORTGAGE,9,FURNITURE,A,10250,18,0,0.13,N,4,4588.053
2,2,22,31800,RENT,,FURNITURE,A,12000,18,1,0.38,N,2,183969.949
4,3,25,80208,MORTGAGE,1,HOMEIMPROVEMENT,A,4000,18,0,0.05,N,4,147589.762
5,4,25,80400,MORTGAGE,9,FURNITURE,A,1000,18,0,0.01,N,3,63741.47
8,1,25,46000,RENT,9,PERSONAL,A,12000,18,0,0.26,N,3,160932.951
2,1,25,60000,RENT,3,HEALTHANDBEAUTY,A,12000,18,0,0.2,N,3,46351.751
8,3,23,83199,MORTGAGE,2,FURNITURE,A,14400,18,0,0.17,N,3,20167.599
1,5,23,84000,MORTGAGE,5,PERSONAL,A,4200,18,0,0.05,N,4,100038.208
6,2,26,85000,MORTGAGE,0,MEDICAL,A,11600,18,0,0.14,N,4,48155.502
3,4,23,85000,MORTGAGE,2,ELECTRONICS,A,5000,18,0,0.06,N,2,15454.668
4,4,23,36000,OWN,,ELECTRONICS,A,5500,18,0,0.15,N,2,139353.472
5,4,24,87278,MORTGAGE,3,HEALTHANDBEAUTY,A,12000,18,0,0.14,N,2,88386.57
2,3,23,91392,RENT,7,FURNITURE,A,12000,18,0,0.13,N,3,136397.116
5,5,26,90000,MORTGAGE,5,ELECTRONICS,A,8000,18,0,0.09,N,3,76593.262
5,4,25,90000,MORTGAGE,9,PERSONAL,A,10000,18,0,0.11,N,2,187742.445
9,1,23,90000,MORTGAGE,1,ELECTRONICS,A,4000,18,0,0.04,N,3,154341.49
6,1,23,90000,MORTGAGE,2,ELECTRONICS,A,5000,18,0,0.06,N,4,30194.914
4,5,24,93600,MORTGAGE,,MEDICAL,A,3600,18,0,0.04,N,2,47096.111
1,3,26,52992,RENT,6,HOMEIMPROVEMENT,A,12800,18,0,0.24,N,4,174264.004
6,3,26,94500,OWN,10,HEALTHANDBEAUTY,A,2000,18,0,0.02,N,2,102376.856
4,2,23,94940,MORTGAGE,4,HEALTHANDBEAUTY,A,2000,18,0,0.02,N,3,102720.003
5,2,22,95000,MORTGAGE,0,ELECTRONICS,A,10400,18,0,0.11,N,4,81612.154
2,4,21,95400,MORTGAGE,0,PERSONAL,A,12000,18,0,0.13,N,2,164295.214
4,5,26,96000,MORTGAGE,3,PERSONAL,A,10000,18,0,0.1,N,3,104183.479
7,1,24,96000,MORTGAGE,6,HEALTHANDBEAUTY,A,12000,18,0,0.13,N,4,194940.341
8,5,23,96000,MORTGAGE,7,ELECTRONICS,A,4000,18,0,0.04,N,2,28741.282
6,5,23,96060,MORTGAGE,7,MEDICAL,A,10000,18,0,0.1,N,2,23544.202
7,1,25,98000,MORTGAGE,9,ELECTRONICS,A,2000,18,0,0.02,N,4,8701.525
1,1,24,100000,MORTGAGE,8,MEDICAL,A,6000,18,0,0.06,N,4,127286.552
5,1,25,100000,MORTGAGE,9,MEDICAL,A,3275,18,0,0.03,N,2,116634.854
6,3,26,100000,MORTGAGE,11,HOMEIMPROVEMENT,A,2000,18,0,0.02,N,2,175606.831
6,3,24,148000,RENT,8,HOMEIMPROVEMENT,A,14000,18,0,0.09,N,2,7828.817
5,4,26,102000,MORTGAGE,5,PERSONAL,A,13000,18,0,0.13,N,3,10216.01
1,4,24,105000,MORTGAGE,8,PERSONAL,A,11000,18,0,0.1,N,3,99462.364
8,5,24,106800,MORTGAGE,6,ELECTRONICS,A,11525,18,0,0.11,N,4,40545.978
4,3,26,108000,MORTGAGE,,HOMEIMPROVEMENT,A,8000,18,0,0.07,N,4,134279.123
4,4,24,108000,MORTGAGE,3,ELECTRONICS,A,9050,18,0,0.08,N,2,167652.608
3,1,24,37000,RENT,2,MEDICAL,A,2000,18,0,0.05,N,4,141124.686
3,3,23,42870,RENT,7,MEDICAL,A,2000,18,0,0.05,N,3,192063.109
2,4,24,112000,MORTGAGE,8,FURNITURE,A,3500,18,0,0.03,N,4,2566.194
7,4,23,115000,MORTGAGE,4,FURNITURE,A,5600,18,0,0.05,N,3,185589.195
7,1,22,33000,RENT,1,ELECTRONICS,A,1800,18,0,0.05,N,2,90986.855
5,1,24,118000,MORTGAGE,8,HOMEIMPROVEMENT,A,5000,18,0,0.04,N,2,85321.192
1,4,23,120000,MORTGAGE,7,MEDICAL,A,8500,18,0,0.07,N,4,31694.761
5,1,23,120000,MORTGAGE,7,ELECTRONICS,A,12000,18,0,0.1,N,3,106296.703
2,5,24,120000,OWN,8,ELECTRONICS,A,5275,18,0,0.04,N,4,103177.754
2,4,23,120000,MORTGAGE,7,FURNITURE,A,3750,18,0,0.03,N,3,69697.212
